구별,인구수,CCTV,,,
종로구,153789 ,1772 ,,,
중구,131787 ,2333 ,,,
용산구,237285 ,2383 ,,,
성동구,292672 ,3602 ,,,
광진구,352627 ,2588 ,,,
동대문구,352006 ,2497 ,,,
중랑구,391885 ,3296 ,,,
성북구,440142 ,3958 ,,,
강북구,302563 ,2462 ,,,
도봉구,319373 ,1629 ,,,
노원구,514946 ,2415 ,,,
은평구,477173 ,3791 ,,,
서대문구,315659 ,2940 ,,,
마포구,378686 ,2421 ,,,
양천구,450487 ,3312 ,,,
강서구,579768 ,2560 ,,,
구로구,421163 ,4075 ,,,
금천구,244891 ,2374 ,,,
영등포구,400908 ,3778 ,,,
동작구,394364 ,2297 ,,,
관악구,499449 ,4942 ,,,
서초구,416167 ,3704 ,,,
강남구,537800 ,6502 ,,,
송파구,663965 ,2854 ,,,
강동구,466472 ,2547 ,,,
